District,Tent(s) & Caravan(s),Tent(s),Grand Total,Female (HOH),Male (HOH), [0-5], [6-11], [12-17], [18-39],[40-59], [60+],female [0-5],female [6-11],female [12-17],female [18-39],female [40-59],female [60+],male [0-5],male [6-11],male [12-17],male [18-39],male [40-59],male [60+]
1,57,11,1190,200,990,1102,1429,1124,2069,760,202,549,713,568,1076,397,104,553,716,556,993,363,98
2,25,6,1299,203,1096,1259,1639,1306,2329,898,235,614,804,641,1228,455,140,645,835,665,1101,443,95
3,69,28,897,130,767,844,1106,840,1524,600,168,398,549,407,811,327,82,446,557,433,713,273,86
4,127,76,848,118,730,788,1068,730,1390,496,133,378,482,356,735,252,73,410,586,374,655,244,60
5,191,159,1034,118,730,1114,1406,857,1667,575,142,537,677,420,902,284,76,577,729,437,765,291,66
6,105,197,1269,185,1084,1337,1753,1097,2105,742,198,622,828,544,1117,391,100,715,925,553,988,351,98
7,190,270,1373,222,1151,1341,1607,1100,2262,745,199,664,786,556,1206,400,109,677,821,544,1056,345,90
8,274,363,1506,230,1276,1641,2051,1109,2383,777,203,789,995,560,1318,375,108,852,1056,549,1065,402,95
9,103,67,907,128,779,902,1144,736,1478,531,117,450,559,388,779,266,70,452,585,348,699,265,47
10,128,60,1124,171,953,1179,1524,1097,1836,704,182,546,742,531,975,347,93,633,782,566,861,357,89
11,142,50,1520,239,1281,1619,1948,1286,2519,896,239,777,935,631,1343,438,127,842,1013,655,1176,458,112
12,95,38,960,134,826,952,1338,943,1663,637,166,459,646,482,894,328,87,493,692,461,769,309,79
13,1506,1325,13927,2078,11663,14078,18013,12225,23225,8361,2184,6783,8716,6084,12384,4260,1169,7295,9297,6141,10841,4101,1015
